,Id_joueur,Strategy,Depth,Max_Score,History
0,1,Exploration_spatial,4,47.0,"[0, 3.0, 3.0, 3.0, 3.0, -1.0, -3.0, 1.0, 5.0, 5.0, 9.0, 11.0, 13.0, 11.0, 11.0, 11.0, 7.0, 5.0, 11.0, 19.0, 25.0, 31.0, 37.0, 35.0, 35.0, 45.0, 47.0]"
1,2,Exploration_spatial_plus,4,-40.0,"[0, -0.0, -0.0, -0.0, 4.0, 6.0, 6.0, 2.0, -0.0, 4.0, -4.0, -8.0, -4.0, -8.0, -8.0, -4.0, 4.0, -0.0, -8.0, -16.0, -22.0, -26.0, -32.0, -32.0, -28.0, -40.0]"
2,1,Exploration_spatial,4,-1.0,"[0, 3.0, 3.0, 3.0, 3.0, -1.0, -3.0, 1.0, 5.0, 5.0, 9.0, 11.0, 13.0, 11.0, 11.0, 15.0, 19.0, 21.0, 17.0, 25.0, 19.0, 13.0, 11.0, 7.0, 15.0, 15.0, 17.0, 11.0, 5.0, 3.0, -1.0]"
3,2,Exploration_spatial_plus,4,10.0,"[0, -0.0, -0.0, -0.0, 4.0, 6.0, 6.0, 2.0, -0.0, 4.0, -4.0, -8.0, -4.0, -8.0, -2.0, -10.0, -12.0, -14.0, -14.0, -16.0, -10.0, -4.0, -4.0, -2.0, -8.0, -12.0, -6.0, -2.0, 10.0, 8.0, 10.0]"
4,1,Exploration_spatial,4,29.0,"[0, 3.0, 3.0, 3.0, 3.0, -1.0, -3.0, 1.0, 1.0, -1.0, -3.0, -7.0, 1.0, -1.0, 1.0, 5.0, 5.0, 11.0, 15.0, 19.0, 25.0, 25.0, 35.0, 31.0, 27.0, 23.0, 23.0, 29.0, 35.0, 33.0, 29.0]"
5,2,Exploration_spatial_plus,4,-26.0,"[0, -0.0, -0.0, -0.0, 4.0, 6.0, 6.0, 4.0, 4.0, 8.0, 10.0, 10.0, 6.0, 10.0, 4.0, -2.0, -2.0, -4.0, -8.0, -16.0, -22.0, -18.0, -28.0, -24.0, -18.0, -18.0, -18.0, -18.0, -26.0, -22.0, -26.0]"
6,1,Exploration_spatial,4,39.0,"[0, 3.0, 3.0, 3.0, 3.0, -1.0, -3.0, 1.0, 1.0, -1.0, 3.0, -1.0, 3.0, 3.0, 11.0, 3.0, 7.0, 7.0, 15.0, 21.0, 25.0, 33.0, 27.0, 25.0, 29.0, 23.0, 23.0, 27.0, 25.0, 31.0, 39.0]"
7,2,Exploration_spatial_plus,4,-28.0,"[0, -0.0, -0.0, -0.0, 4.0, 6.0, 6.0, 4.0, 4.0, 8.0, 4.0, 6.0, -0.0, -0.0, -0.0, 4.0, -0.0, -2.0, -2.0, -16.0, -22.0, -24.0, -14.0, -22.0, -20.0, -20.0, -20.0, -20.0, -22.0, -28.0]"
8,1,Exploration_spatial,4,29.0,"[0, 3.0, 3.0, 3.0, 3.0, -1.0, -3.0, 1.0, 5.0, 5.0, 9.0, 11.0, 13.0, 11.0, 11.0, 11.0, 7.0, 5.0, 11.0, 19.0, 25.0, 31.0, 37.0, 35.0, 37.0, 37.0, 35.0, 35.0, 31.0, 31.0, 29.0]"
9,2,Exploration_spatial_plus,4,-24.0,"[0, -0.0, -0.0, -0.0, 4.0, 6.0, 6.0, 2.0, -0.0, 4.0, -4.0, -8.0, -4.0, -8.0, -8.0, -4.0, 4.0, -0.0, -8.0, -16.0, -22.0, -26.0, -32.0, -32.0, -34.0, -32.0, -32.0, -28.0, -28.0, -26.0, -24.0]"
10,1,Exploration_spatial,4,-7.0,"[0, 3.0, 3.0, 3.0, 3.0, -1.0, -3.0, 1.0, 1.0, 1.0, 3.0, -5.0, -9.0, -9.0, -7.0, -3.0, 9.0, 7.0, -3.0, -9.0, -11.0, -11.0, -9.0, -5.0, 1.0, -3.0, -3.0, -1.0, -3.0, 3.0, -7.0]"
11,2,Exploration_spatial_plus,4,10.0,"[0, -0.0, -0.0, -0.0, 4.0, 6.0, 6.0, 4.0, 4.0, 4.0, 8.0, 12.0, 12.0, 12.0, 12.0, 6.0, -2.0, 6.0, 14.0, 16.0, 16.0, 18.0, 12.0, 16.0, 10.0, 6.0, 6.0, 6.0, 10.0, 10.0, 10.0]"
12,1,Exploration_spatial,4,9.0,"[0, 3.0, 3.0, 3.0, 3.0, -1.0, -3.0, 1.0, 5.0, 5.0, 9.0, 11.0, 13.0, 11.0, 11.0, 13.0, 11.0, 7.0, 13.0, 15.0, 19.0, 19.0, 13.0, 7.0, 5.0, 7.0, 11.0, 17.0, 9.0, 7.0, 9.0]"
13,2,Exploration_spatial_plus,4,2.0,"[0, -0.0, -0.0, -0.0, 4.0, 6.0, 6.0, 2.0, -0.0, 4.0, -4.0, -8.0, -4.0, -8.0, -8.0, -6.0, -2.0, -4.0, -8.0, -6.0, -10.0, -8.0, -4.0, 2.0, 4.0, -0.0, -2.0, -4.0, 2.0, 4.0, 2.0]"
14,1,Exploration_spatial,4,5.0,"[0, 3.0, 3.0, 3.0, 3.0, -1.0, -3.0, 1.0, 1.0, -1.0, -3.0, -7.0, 1.0, -1.0, -1.0, -1.0, -3.0, 1.0, 9.0, -1.0, -3.0, -1.0, 7.0, 13.0, 23.0, 25.0, 13.0, 13.0, 9.0, 5.0, 5.0]"
15,2,Exploration_spatial_plus,4,8.0,"[0, -0.0, -0.0, -0.0, 4.0, 6.0, 6.0, 4.0, 4.0, 8.0, 10.0, 10.0, 6.0, 10.0, 12.0, 6.0, 8.0, 2.0, 6.0, 10.0, 10.0, 6.0, -2.0, -8.0, -16.0, -10.0, -10.0, -4.0, -2.0, -2.0, 8.0]"
16,1,Exploration_spatial,4,21.0,"[0, 3.0, 3.0, 3.0, 3.0, -1.0, -3.0, 1.0, 1.0, 1.0, 5.0, 3.0, 3.0, 1.0, 15.0, 13.0, 11.0, 19.0, 17.0, 17.0, 19.0, 27.0, 25.0, 29.0, 27.0, 23.0, 15.0, 15.0, 11.0, 9.0, 21.0]"
17,2,Exploration_spatial_plus,4,-18.0,"[0, -0.0, -0.0, -0.0, 4.0, 6.0, 6.0, 4.0, 4.0, 4.0, 2.0, 6.0, 8.0, 2.0, -4.0, -6.0, -2.0, -12.0, -8.0, -8.0, -14.0, -22.0, -14.0, -22.0, -20.0, -12.0, -12.0, -8.0, -6.0, -4.0, -18.0]"
18,1,Exploration_spatial,4,-5.0,"[0, 3.0, 3.0, 3.0, 3.0, -1.0, -3.0, 1.0, 1.0, 1.0, 3.0, 3.0, -5.0, -13.0, -17.0, -23.0, -19.0, -11.0, -7.0, 3.0, -1.0, -1.0, -13.0, -11.0, -1.0, -1.0, 1.0, -5.0, -1.0, 5.0, -5.0]"
19,2,Exploration_spatial_plus,4,8.0,"[0, -0.0, -0.0, -0.0, 4.0, 6.0, 6.0, 4.0, 4.0, 2.0, -0.0, 8.0, 18.0, 20.0, 26.0, 26.0, 22.0, 14.0, 10.0, 8.0, 8.0, 18.0, 24.0, 16.0, 4.0, 16.0, 12.0, 8.0, 4.0, 8.0, 8.0]"
20,1,Exploration_spatial,4,15.0,"[0, 3.0, 3.0, 3.0, 3.0, -1.0, -3.0, 1.0, 1.0, -1.0, -3.0, -7.0, 1.0, -1.0, -1.0, -1.0, -3.0, 1.0, 9.0, -1.0, -3.0, -1.0, 7.0, 13.0, 23.0, 25.0, 13.0, 15.0, 9.0, 13.0, 15.0]"
21,2,Exploration_spatial_plus,4,-4.0,"[0, -0.0, -0.0, -0.0, 4.0, 6.0, 6.0, 4.0, 4.0, 8.0, 10.0, 10.0, 6.0, 10.0, 12.0, 6.0, 8.0, 2.0, 6.0, 10.0, 10.0, 6.0, -2.0, -8.0, -16.0, -10.0, -10.0, -4.0, -6.0, -4.0]"
22,1,Exploration_spatial,4,23.0,"[0, 3.0, 3.0, 3.0, 3.0, -1.0, -3.0, 1.0, 5.0, 5.0, 9.0, 11.0, 13.0, 7.0, 15.0, 15.0, 13.0, 19.0, 23.0, 23.0, 29.0, 35.0, 35.0, 33.0, 29.0, 27.0, 35.0, 41.0, 37.0, 25.0, 23.0]"
23,2,Exploration_spatial_plus,4,-16.0,"[0, -0.0, -0.0, -0.0, 4.0, 6.0, 6.0, 2.0, -0.0, 4.0, -4.0, -8.0, -4.0, -2.0, -12.0, -10.0, -10.0, -10.0, -14.0, -20.0, -22.0, -30.0, -30.0, -26.0, -24.0, -22.0, -32.0, -32.0, -22.0, -18.0, -16.0]"
24,1,Exploration_spatial,4,33.0,"[0, 3.0, 3.0, 3.0, 3.0, -1.0, -3.0, 1.0, 1.0, -1.0, 3.0, -1.0, 3.0, 3.0, 11.0, 3.0, 7.0, 7.0, 15.0, 21.0, 29.0, 31.0, 25.0, 19.0, 17.0, 17.0, 17.0, 17.0, 21.0, 27.0, 33.0]"
25,2,Exploration_spatial_plus,4,-20.0,"[0, -0.0, -0.0, -0.0, 4.0, 6.0, 6.0, 4.0, 4.0, 8.0, 4.0, 6.0, -0.0, -0.0, -0.0, 4.0, -0.0, -2.0, -2.0, -18.0, -24.0, -22.0, -16.0, -6.0, -6.0, -8.0, -12.0, -10.0, -14.0, -24.0, -20.0]"
26,1,Exploration_spatial,4,35.0,"[0, 3.0, 3.0, 3.0, 3.0, -1.0, -3.0, 1.0, 5.0, 5.0, 9.0, 11.0, 13.0, 7.0, 15.0, 15.0, 13.0, 19.0, 23.0, 23.0, 29.0, 35.0, 35.0, 33.0, 29.0, 37.0, 41.0, 47.0, 45.0, 41.0, 35.0]"
27,2,Exploration_spatial_plus,4,-32.0,"[0, -0.0, -0.0, -0.0, 4.0, 6.0, 6.0, 2.0, -0.0, 4.0, -4.0, -8.0, -4.0, -2.0, -12.0, -10.0, -10.0, -10.0, -14.0, -20.0, -22.0, -30.0, -30.0, -26.0, -24.0, -30.0, -38.0, -42.0, -38.0, -32.0]"
28,1,Exploration_spatial,4,5.0,"[0, 3.0, 3.0, 3.0, 3.0, -1.0, -3.0, 1.0, 1.0, -1.0, 3.0, -1.0, 3.0, -5.0, -1.0, 7.0, 9.0, 7.0, 7.0, 7.0, 7.0, 11.0, 17.0, 15.0, 19.0, 21.0, 17.0, 13.0, 11.0, 5.0, 5.0]"
29,2,Exploration_spatial_plus,4,-2.0,"[0, -0.0, -0.0, -0.0, 4.0, 6.0, 6.0, 4.0, 4.0, 8.0, 6.0, 4.0, 10.0, 10.0, 4.0, -4.0, -2.0, 2.0, -0.0, -4.0, -2.0, -8.0, -10.0, -10.0, -16.0, -14.0, -10.0, -2.0, -0.0, -0.0, -2.0]"
30,1,Exploration_spatial,4,19.0,"[0, 3.0, 3.0, 3.0, 3.0, -1.0, -3.0, 1.0, 1.0, 1.0, 5.0, 3.0, 3.0, 1.0, 15.0, 13.0, 11.0, 19.0, 17.0, 17.0, 23.0, 17.0, 9.0, 11.0, 13.0, 13.0, 11.0, 27.0, 17.0, 17.0, 19.0]"
31,2,Exploration_spatial_plus,4,-12.0,"[0, -0.0, -0.0, -0.0, 4.0, 6.0, 6.0, 4.0, 4.0, 4.0, 2.0, 6.0, 8.0, 2.0, -4.0, -6.0, -2.0, -12.0, -8.0, -12.0, -14.0, -4.0, -6.0, -2.0, -4.0, -2.0, -6.0, -14.0, -14.0, -10.0, -12.0]"
32,1,Exploration_spatial,4,19.0,"[0, 3.0, 3.0, 3.0, 3.0, -1.0, -3.0, 1.0, 5.0, 5.0, 9.0, 11.0, 13.0, 11.0, 11.0, 11.0, 7.0, 5.0, 11.0, 11.0, 19.0]"
33,2,Exploration_spatial_plus,4,-8.0,"[0, -0.0, -0.0, -0.0, 4.0, 6.0, 6.0, 2.0, -0.0, 4.0, -4.0, -8.0, -4.0, -8.0, -8.0, -4.0, 4.0, -0.0, -8.0, -8.0]"
34,1,Exploration_spatial,4,31.0,"[0, 3.0, 3.0, 3.0, 3.0, -1.0, -3.0, 1.0, 5.0, 5.0, 9.0, 11.0, 13.0, 11.0, 11.0, 11.0, 7.0, 5.0, 11.0, 19.0, 25.0, 31.0, 37.0, 35.0, 35.0, 47.0, 41.0, 37.0, 35.0, 37.0, 31.0]"
35,2,Exploration_spatial_plus,4,-28.0,"[0, -0.0, -0.0, -0.0, 4.0, 6.0, 6.0, 2.0, -0.0, 4.0, -4.0, -8.0, -4.0, -8.0, -8.0, -4.0, 4.0, -0.0, -8.0, -16.0, -22.0, -26.0, -32.0, -32.0, -32.0, -38.0, -34.0, -30.0, -32.0, -28.0]"
36,1,Exploration_spatial,4,15.0,"[0, 3.0, 3.0, 3.0, 3.0, -1.0, -3.0, 1.0, 1.0, -1.0, 3.0, -1.0, 1.0, 1.0, -1.0, 1.0, 5.0, 13.0, 11.0, 17.0, 17.0, 19.0, 15.0, 21.0, 23.0, 23.0, 23.0, 27.0, 19.0, 9.0, 15.0]"
37,2,Exploration_spatial_plus,4,-8.0,"[0, -0.0, -0.0, -0.0, 4.0, 6.0, 6.0, 4.0, 4.0, 8.0, 4.0, 4.0, 4.0, 6.0, 4.0, 10.0, 2.0, -2.0, -0.0, -14.0, -12.0, -8.0, -2.0, -14.0, -10.0, -20.0, -16.0, -12.0, -4.0, -2.0, -8.0]"
38,1,Exploration_spatial,4,31.0,"[0, 3.0, 3.0, 3.0, 3.0, -1.0, -3.0, 1.0, 1.0, 1.0, 5.0, 3.0, 3.0, 1.0, 15.0, 13.0, 11.0, 19.0, 17.0, 17.0, 19.0, 27.0, 25.0, 29.0, 27.0, 25.0, 23.0, 25.0, 25.0, 31.0, 31.0]"
39,2,Exploration_spatial_plus,4,-28.0,"[0, -0.0, -0.0, -0.0, 4.0, 6.0, 6.0, 4.0, 4.0, 4.0, 2.0, 6.0, 8.0, 2.0, -4.0, -6.0, -2.0, -12.0, -8.0, -8.0, -14.0, -22.0, -14.0, -22.0, -22.0, -16.0, -18.0, -20.0, -22.0, -26.0, -28.0]"
