,func,ncalls,ccalls,tottime,cumtime,callers
28,"<code object Spatial_score at 0x0000011A264DA2F0, file ""c:\Users\iTreek\Documents\Formation\Othello\Exploration_part.py"", line 30>",19543,0,131.584339,131.584339,
25,"<code object Count_score at 0x0000011A264D6660, file ""c:\Users\iTreek\Documents\Formation\Othello\engine_file.py"", line 60>",23678,0,34.2612836,34.2612836,
23,"<code object Check_for_permut at 0x0000011A264D6450, file ""c:\Users\iTreek\Documents\Formation\Othello\engine_file.py"", line 15>",1043487,0,14.952275700000001,14.641810300000001,"[_lsprof.profiler_subentry(code=""<method 'extend' of 'list' objects>"", callcount=1052646, reccallcount=0, totaltime=0.0958586, inlinetime=0.0958586), _lsprof.profiler_subentry(code=""<method 'append' of 'list' objects>"", callcount=264261, reccallcount=0, totaltime=0.0321707, inlinetime=0.0321707), _lsprof.profiler_subentry(code=<code object Retournement_valeur at 0x0000011A24BA2C90, file ""c:\Users\iTreek\Documents\Formation\Othello\pawn_file.py"", line 1>, callcount=1316907, reccallcount=0, totaltime=0.18243610000000002, inlinetime=0.18243610000000002)]"
26,"<code object Get_all_permutationAble_squares at 0x0000011A264D6710, file ""c:\Users\iTreek\Documents\Formation\Othello\engine_file.py"", line 67>",23696,0,17.304574000000002,1.847498,"[_lsprof.profiler_subentry(code=""<method 'append' of 'list' objects>"", callcount=110687, reccallcount=0, totaltime=0.0130833, inlinetime=0.0130833), _lsprof.profiler_subentry(code=<code object verify_move at 0x0000011A264D63A0, file ""c:\Users\iTreek\Documents\Formation\Othello\engine_file.py"", line 8>, callcount=1019809, reccallcount=0, totaltime=14.928110100000001, inlinetime=0.5565749), _lsprof.profiler_subentry(code=<code object __init__ at 0x0000011A24BA2500, file ""c:\Users\iTreek\Documents\Formation\Othello\pawn_file.py"", line 8>, callcount=1019809, reccallcount=0, totaltime=0.2192649, inlinetime=0.2192649), _lsprof.profiler_subentry(code=<code object where at 0x0000011A242DE7C0, file ""<__array_function__ internals>"", line 2>, callcount=23696, reccallcount=0, totaltime=0.29661770000000004, inlinetime=0.0458712)]"
29,"<code object Explore_moves at 0x0000011A264DA450, file ""c:\Users\iTreek\Documents\Formation\Othello\Exploration_part.py"", line 84>",23678,23660,185.64577540000002,0.6477499,"[_lsprof.profiler_subentry(code=""<method 'append' of 'list' objects>"", callcount=47320, reccallcount=0, totaltime=0.028324000000000002, inlinetime=0.028324000000000002), _lsprof.profiler_subentry(code='<built-in method builtins.len>', callcount=7928, reccallcount=0, totaltime=0.0020268, inlinetime=0.0020268), _lsprof.profiler_subentry(code=<code object verify_move at 0x0000011A264D63A0, file ""c:\Users\iTreek\Documents\Formation\Othello\engine_file.py"", line 8>, callcount=23660, reccallcount=0, totaltime=0.702786, inlinetime=0.0328881), _lsprof.profiler_subentry(code=<code object __init__ at 0x0000011A24BA2500, file ""c:\Users\iTreek\Documents\Formation\Othello\pawn_file.py"", line 8>, callcount=23660, reccallcount=0, totaltime=0.0053236, inlinetime=0.0053236), _lsprof.profiler_subentry(code=<code object Get_all_permutationAble_squares at 0x0000011A264D6710, file ""c:\Users\iTreek\Documents\Formation\Othello\engine_file.py"", line 67>, callcount=23678, reccallcount=0, totaltime=17.288351000000002, inlinetime=1.8458386000000002), _lsprof.profiler_subentry(code=<code object Explore_moves at 0x0000011A264DA450, file ""c:\Users\iTreek\Documents\Formation\Othello\Exploration_part.py"", line 84>, callcount=23660, reccallcount=23569, totaltime=185.5495386, inlinetime=0.6462275000000001), _lsprof.profiler_subentry(code=""<method 'min' of 'numpy.ndarray' objects>"", callcount=3431, reccallcount=0, totaltime=0.08307540000000001, inlinetime=0.0092511), _lsprof.profiler_subentry(code='<built-in method numpy.array>', callcount=7928, reccallcount=0, totaltime=0.060412200000000006, inlinetime=0.060412200000000006), _lsprof.profiler_subentry(code=<code object remove_pawn at 0x0000011A224EF710, file ""c:\Users\iTreek\Documents\Formation\Othello\board_file.py"", line 21>, callcount=23660, reccallcount=0, totaltime=0.18286100000000002, inlinetime=0.082222), _lsprof.profiler_subentry(code=<code object Count_score at 0x0000011A264D6660, file ""c:\Users\iTreek\Documents\Formation\Othello\engine_file.py"", line 60>, callcount=23660, reccallcount=0, totaltime=34.2494091, inlinetime=34.2494091), _lsprof.profiler_subentry(code=<code object Undo_move at 0x0000011A264D27C0, file ""c:\Users\iTreek\Documents\Formation\Othello\Player_file.py"", line 20>, callcount=23660, reccallcount=0, totaltime=0.0714535, inlinetime=0.0597381), _lsprof.profiler_subentry(code=<code object Score at 0x0000011A264DA240, file ""c:\Users\iTreek\Documents\Formation\Othello\Exploration_part.py"", line 26>, callcount=171, reccallcount=0, totaltime=5.22e-05, inlinetime=5.22e-05), _lsprof.profiler_subentry(code=<code object Inverts_pawns at 0x0000011A264D6500, file ""c:\Users\iTreek\Documents\Formation\Othello\engine_file.py"", line 44>, callcount=47320, reccallcount=0, totaltime=0.199381, inlinetime=0.1297101), _lsprof.profiler_subentry(code=<code object place_pawn at 0x0000011A224EBF50, file ""c:\Users\iTreek\Documents\Formation\Othello\board_file.py"", line 14>, callcount=23660, reccallcount=0, totaltime=0.1605088, inlinetime=0.12256840000000001), _lsprof.profiler_subentry(code=<code object Convert_coord_to_string at 0x0000011A24BA2EA0, file ""c:\Users\iTreek\Documents\Formation\Othello\utils.py"", line 12>, callcount=23660, reccallcount=0, totaltime=0.1709102, inlinetime=0.1709102), _lsprof.profiler_subentry(code=""<method 'choice' of 'numpy.random.mtrand.RandomState' objects>"", callcount=3964, reccallcount=0, totaltime=0.20487200000000003, inlinetime=0.1076854), _lsprof.profiler_subentry(code=""<method 'max' of 'numpy.ndarray' objects>"", callcount=533, reccallcount=0, totaltime=0.0039397, inlinetime=0.0006649000000000001), _lsprof.profiler_subentry(code=<code object Spatial_score at 0x0000011A264DA2F0, file ""c:\Users\iTreek\Documents\Formation\Othello\Exploration_part.py"", line 30>, callcount=19543, reccallcount=0, totaltime=131.584339, inlinetime=131.584339)]"
22,"<code object verify_move at 0x0000011A264D63A0, file ""c:\Users\iTreek\Documents\Formation\Othello\engine_file.py"", line 8>",1043487,0,15.631424800000001,0.5894836,"[_lsprof.profiler_subentry(code='<built-in method builtins.len>', callcount=1043487, reccallcount=0, totaltime=0.08966550000000001, inlinetime=0.08966550000000001), _lsprof.profiler_subentry(code=<code object Check_for_permut at 0x0000011A264D6450, file ""c:\Users\iTreek\Documents\Formation\Othello\engine_file.py"", line 15>, callcount=1043487, reccallcount=0, totaltime=14.952275700000001, inlinetime=14.641810300000001)]"
35,<built-in method numpy.core._multiarray_umath.implement_array_function>,27660,0,0.33102040000000005,0.24961840000000002,"[_lsprof.profiler_subentry(code=<code object prod at 0x0000011A2430E3A0, file ""C:\Users\iTreek\anaconda3\envs\Game\lib\site-packages\numpy\core\fromnumeric.py"", line 2933>, callcount=3964, reccallcount=0, totaltime=0.081402, inlinetime=0.0130805)]"
13,"<code object __init__ at 0x0000011A24BA2500, file ""c:\Users\iTreek\Documents\Formation\Othello\pawn_file.py"", line 8>",1067165,0,0.2366723,0.2366723,
15,"<code object Retournement_valeur at 0x0000011A24BA2C90, file ""c:\Users\iTreek\Documents\Formation\Othello\pawn_file.py"", line 1>",1390004,0,0.19984220000000003,0.19984220000000003,
16,"<code object Convert_coord_to_string at 0x0000011A24BA2EA0, file ""c:\Users\iTreek\Documents\Formation\Othello\utils.py"", line 12>",23678,0,0.1709834,0.1709834,
24,"<code object Inverts_pawns at 0x0000011A264D6500, file ""c:\Users\iTreek\Documents\Formation\Othello\engine_file.py"", line 44>",47338,0,0.19941250000000002,0.12972930000000002,"[_lsprof.profiler_subentry(code='<built-in method builtins.len>', callcount=47338, reccallcount=0, totaltime=0.010259500000000001, inlinetime=0.010259500000000001), _lsprof.profiler_subentry(code=<code object retournement at 0x0000011A24BA2BE0, file ""c:\Users\iTreek\Documents\Formation\Othello\pawn_file.py"", line 11>, callcount=73097, reccallcount=0, totaltime=0.0594237, inlinetime=0.0420176)]"
17,"<code object Convert_str_coord at 0x0000011A24BA2F50, file ""c:\Users\iTreek\Documents\Formation\Othello\utils.py"", line 9>",47338,0,0.1235331,0.1235331,
2,"<code object place_pawn at 0x0000011A224EBF50, file ""c:\Users\iTreek\Documents\Formation\Othello\board_file.py"", line 14>",23678,0,0.16058940000000002,0.1226218,"[_lsprof.profiler_subentry(code=""<method 'append' of 'list' objects>"", callcount=23678, reccallcount=0, totaltime=0.0029939000000000003, inlinetime=0.0029939000000000003), _lsprof.profiler_subentry(code=<code object __init__ at 0x0000011A24BA2500, file ""c:\Users\iTreek\Documents\Formation\Othello\pawn_file.py"", line 8>, callcount=23678, reccallcount=0, totaltime=0.012079600000000001, inlinetime=0.012079600000000001), _lsprof.profiler_subentry(code=<code object Convert_str_coord at 0x0000011A24BA2F50, file ""c:\Users\iTreek\Documents\Formation\Othello\utils.py"", line 9>, callcount=23678, reccallcount=0, totaltime=0.0228941, inlinetime=0.0228941)]"
44,<method 'choice' of 'numpy.random.mtrand.RandomState' objects>,3964,0,0.20487200000000003,0.1076854,"[_lsprof.profiler_subentry(code=<code object prod at 0x0000011A2432E500, file ""<__array_function__ internals>"", line 2>, callcount=3964, reccallcount=0, totaltime=0.09718660000000001, inlinetime=0.0069265)]"
36,<method 'reduce' of 'numpy.ufunc' objects>,7928,0,0.10283800000000001,0.10283800000000001,
42,<built-in method builtins.len>,1098771,0,0.10195570000000001,0.10195570000000001,
39,<method 'extend' of 'list' objects>,1052646,0,0.0958586,0.0958586,
3,"<code object remove_pawn at 0x0000011A224EF710, file ""c:\Users\iTreek\Documents\Formation\Othello\board_file.py"", line 21>",23660,0,0.18286100000000002,0.082222,"[_lsprof.profiler_subentry(code=<code object Convert_str_coord at 0x0000011A24BA2F50, file ""c:\Users\iTreek\Documents\Formation\Othello\utils.py"", line 9>, callcount=23660, reccallcount=0, totaltime=0.100639, inlinetime=0.100639)]"
38,<method 'append' of 'list' objects>,445964,0,0.07657660000000001,0.07657660000000001,
34,<built-in method numpy.array>,7928,0,0.060412200000000006,0.060412200000000006,
19,"<code object Undo_move at 0x0000011A264D27C0, file ""c:\Users\iTreek\Documents\Formation\Othello\Player_file.py"", line 20>",23660,0,0.0714535,0.0597381,"[_lsprof.profiler_subentry(code=""<method 'pop' of 'list' objects>"", callcount=23660, reccallcount=0, totaltime=0.0117154, inlinetime=0.0117154)]"
47,<built-in method pygame.display.flip>,243,0,0.056313400000000007,0.056313400000000007,
5,"<code object where at 0x0000011A242DE7C0, file ""<__array_function__ internals>"", line 2>",23696,0,0.29661770000000004,0.0458712,"[_lsprof.profiler_subentry(code='<built-in method numpy.core._multiarray_umath.implement_array_function>', callcount=23696, reccallcount=0, totaltime=0.2419486, inlinetime=0.2419486), _lsprof.profiler_subentry(code=<code object where at 0x0000011A23FBC190, file ""C:\Users\iTreek\anaconda3\envs\Game\lib\site-packages\numpy\core\multiarray.py"", line 341>, callcount=23696, reccallcount=0, totaltime=0.0087979, inlinetime=0.0087979)]"
14,"<code object retournement at 0x0000011A24BA2BE0, file ""c:\Users\iTreek\Documents\Formation\Othello\pawn_file.py"", line 11>",73097,0,0.0594237,0.0420176,"[_lsprof.profiler_subentry(code=<code object Retournement_valeur at 0x0000011A24BA2C90, file ""c:\Users\iTreek\Documents\Formation\Othello\pawn_file.py"", line 1>, callcount=73097, reccallcount=0, totaltime=0.0174061, inlinetime=0.0174061)]"
48,<built-in method pygame.base.quit>,1,0,0.0287922,0.0287922,
7,"<code object _wrapreduction at 0x0000011A24305710, file ""C:\Users\iTreek\anaconda3\envs\Game\lib\site-packages\numpy\core\fromnumeric.py"", line 69>",3964,0,0.06832150000000001,0.028477000000000002,"[_lsprof.profiler_subentry(code=""<method 'reduce' of 'numpy.ufunc' objects>"", callcount=3964, reccallcount=0, totaltime=0.029065100000000003, inlinetime=0.029065100000000003), _lsprof.profiler_subentry(code=""<method 'items' of 'dict' objects>"", callcount=3964, reccallcount=0, totaltime=0.0021497, inlinetime=0.0021497), _lsprof.profiler_subentry(code='<built-in method builtins.getattr>', callcount=3964, reccallcount=0, totaltime=0.0038764000000000003, inlinetime=0.0038764000000000003), _lsprof.profiler_subentry(code=<code object <dictcomp> at 0x0000011A24305660, file ""C:\Users\iTreek\anaconda3\envs\Game\lib\site-packages\numpy\core\fromnumeric.py"", line 70>, callcount=3964, reccallcount=0, totaltime=0.0047533, inlinetime=0.0047533)]"
9,"<code object prod at 0x0000011A2430E3A0, file ""C:\Users\iTreek\anaconda3\envs\Game\lib\site-packages\numpy\core\fromnumeric.py"", line 2933>",3964,0,0.081402,0.0130805,"[_lsprof.profiler_subentry(code=<code object _wrapreduction at 0x0000011A24305710, file ""C:\Users\iTreek\anaconda3\envs\Game\lib\site-packages\numpy\core\fromnumeric.py"", line 69>, callcount=3964, reccallcount=0, totaltime=0.06832150000000001, inlinetime=0.028477000000000002)]"
40,<method 'pop' of 'list' objects>,23660,0,0.0117154,0.0117154,
33,<method 'min' of 'numpy.ndarray' objects>,3431,0,0.08307540000000001,0.0092511,"[_lsprof.profiler_subentry(code=<code object _amin at 0x0000011A243105B0, file ""C:\Users\iTreek\anaconda3\envs\Game\lib\site-packages\numpy\core\_methods.py"", line 42>, callcount=3431, reccallcount=0, totaltime=0.07382430000000001, inlinetime=0.0029602)]"
4,"<code object where at 0x0000011A23FBC190, file ""C:\Users\iTreek\anaconda3\envs\Game\lib\site-packages\numpy\core\multiarray.py"", line 341>",23696,0,0.0087979,0.0087979,
46,<built-in method pygame.event.get>,18,0,0.008425,0.008425,
12,"<code object prod at 0x0000011A2432E500, file ""<__array_function__ internals>"", line 2>",3964,0,0.09718660000000001,0.0069265,"[_lsprof.profiler_subentry(code='<built-in method numpy.core._multiarray_umath.implement_array_function>', callcount=3964, reccallcount=0, totaltime=0.0890718, inlinetime=0.0076698), _lsprof.profiler_subentry(code=<code object _prod_dispatcher at 0x0000011A2430E2F0, file ""C:\Users\iTreek\anaconda3\envs\Game\lib\site-packages\numpy\core\fromnumeric.py"", line 2928>, callcount=3964, reccallcount=0, totaltime=0.0011883, inlinetime=0.0011883)]"
6,"<code object <dictcomp> at 0x0000011A24305660, file ""C:\Users\iTreek\anaconda3\envs\Game\lib\site-packages\numpy\core\fromnumeric.py"", line 70>",3964,0,0.0047533,0.0047533,
41,<built-in method builtins.getattr>,3964,0,0.0038764000000000003,0.0038764000000000003,
11,"<code object _amin at 0x0000011A243105B0, file ""C:\Users\iTreek\anaconda3\envs\Game\lib\site-packages\numpy\core\_methods.py"", line 42>",3431,0,0.07382430000000001,0.0029602,"[_lsprof.profiler_subentry(code=""<method 'reduce' of 'numpy.ufunc' objects>"", callcount=3431, reccallcount=0, totaltime=0.0708641, inlinetime=0.0708641)]"
37,<method 'items' of 'dict' objects>,3964,0,0.0021497,0.0021497,
18,"<code object draw_pawns at 0x0000011A264AE870, file ""c:\Users\iTreek\Documents\Formation\Othello\GUI_pygame.py"", line 34>",18,0,0.059987000000000006,0.0018408,"[_lsprof.profiler_subentry(code='<built-in method pygame.draw.circle>', callcount=486, reccallcount=0, totaltime=0.0018328, inlinetime=0.0018328), _lsprof.profiler_subentry(code='<built-in method pygame.display.flip>', callcount=243, reccallcount=0, totaltime=0.056313400000000007, inlinetime=0.056313400000000007)]"
45,<built-in method pygame.draw.circle>,486,0,0.0018328,0.0018328,
8,"<code object _prod_dispatcher at 0x0000011A2430E2F0, file ""C:\Users\iTreek\anaconda3\envs\Game\lib\site-packages\numpy\core\fromnumeric.py"", line 2928>",3964,0,0.0011883,0.0011883,
32,<method 'max' of 'numpy.ndarray' objects>,533,0,0.0039397,0.0006649000000000001,"[_lsprof.profiler_subentry(code=<code object _amax at 0x0000011A24310500, file ""C:\Users\iTreek\anaconda3\envs\Game\lib\site-packages\numpy\core\_methods.py"", line 38>, callcount=533, reccallcount=0, totaltime=0.0032748, inlinetime=0.000366)]"
10,"<code object _amax at 0x0000011A24310500, file ""C:\Users\iTreek\anaconda3\envs\Game\lib\site-packages\numpy\core\_methods.py"", line 38>",533,0,0.0032748,0.000366,"[_lsprof.profiler_subentry(code=""<method 'reduce' of 'numpy.ufunc' objects>"", callcount=533, reccallcount=0, totaltime=0.0029088, inlinetime=0.0029088)]"
0,"<code object Deroulement_tour_bot at 0x0000011A224DA190, file ""c:\Users\iTreek\Documents\Formation\Othello\main.py"", line 56>",18,0,185.77245720000002,0.00026490000000000004,"[_lsprof.profiler_subentry(code='<built-in method builtins.len>', callcount=18, reccallcount=0, totaltime=3.9e-06, inlinetime=3.9e-06), _lsprof.profiler_subentry(code=<code object Get_all_permutationAble_squares at 0x0000011A264D6710, file ""c:\Users\iTreek\Documents\Formation\Othello\engine_file.py"", line 67>, callcount=18, reccallcount=0, totaltime=0.016223, inlinetime=0.0016594000000000001), _lsprof.profiler_subentry(code='<built-in method pygame.base.quit>', callcount=1, reccallcount=0, totaltime=0.0287922, inlinetime=0.0287922), _lsprof.profiler_subentry(code=<code object Make_move at 0x0000011A264D2DF0, file ""c:\Users\iTreek\Documents\Formation\Othello\Player_file.py"", line 79>, callcount=18, reccallcount=0, totaltime=185.658645, inlinetime=7.8e-05), _lsprof.profiler_subentry(code=<code object update_screen_board at 0x0000011A264DAEA0, file ""c:\Users\iTreek\Documents\Formation\Othello\GUI_pygame.py"", line 54>, callcount=18, reccallcount=0, totaltime=0.0685282, inlinetime=0.0001162)]"
21,"<code object Make_move_exploration at 0x0000011A264D60E0, file ""c:\Users\iTreek\Documents\Formation\Othello\Player_file.py"", line 107>",18,0,185.658567,0.0001942,"[_lsprof.profiler_subentry(code=""<method 'append' of 'list' objects>"", callcount=18, reccallcount=0, totaltime=4.7e-06, inlinetime=4.7e-06), _lsprof.profiler_subentry(code=<code object verify_move at 0x0000011A264D63A0, file ""c:\Users\iTreek\Documents\Formation\Othello\engine_file.py"", line 8>, callcount=18, reccallcount=0, totaltime=0.0005287, inlinetime=2.0600000000000003e-05), _lsprof.profiler_subentry(code=<code object __init__ at 0x0000011A24BA2500, file ""c:\Users\iTreek\Documents\Formation\Othello\pawn_file.py"", line 8>, callcount=18, reccallcount=0, totaltime=4.2000000000000004e-06, inlinetime=4.2000000000000004e-06), _lsprof.profiler_subentry(code=<code object Explore_moves at 0x0000011A264DA450, file ""c:\Users\iTreek\Documents\Formation\Othello\Exploration_part.py"", line 84>, callcount=18, reccallcount=0, totaltime=185.64577540000002, inlinetime=0.0015224000000000001), _lsprof.profiler_subentry(code=<code object Count_score at 0x0000011A264D6660, file ""c:\Users\iTreek\Documents\Formation\Othello\engine_file.py"", line 60>, callcount=18, reccallcount=0, totaltime=0.011874500000000001, inlinetime=0.011874500000000001), _lsprof.profiler_subentry(code=<code object Inverts_pawns at 0x0000011A264D6500, file ""c:\Users\iTreek\Documents\Formation\Othello\engine_file.py"", line 44>, callcount=18, reccallcount=0, totaltime=3.15e-05, inlinetime=1.9200000000000003e-05), _lsprof.profiler_subentry(code=<code object place_pawn at 0x0000011A224EBF50, file ""c:\Users\iTreek\Documents\Formation\Othello\board_file.py"", line 14>, callcount=18, reccallcount=0, totaltime=8.060000000000001e-05, inlinetime=5.3400000000000004e-05), _lsprof.profiler_subentry(code=<code object Convert_coord_to_string at 0x0000011A24BA2EA0, file ""c:\Users\iTreek\Documents\Formation\Othello\utils.py"", line 12>, callcount=18, reccallcount=0, totaltime=7.32e-05, inlinetime=7.32e-05)]"
30,"<code object update_screen_board at 0x0000011A264DAEA0, file ""c:\Users\iTreek\Documents\Formation\Othello\GUI_pygame.py"", line 54>",18,0,0.0685282,0.0001162,"[_lsprof.profiler_subentry(code=<code object draw_pawns at 0x0000011A264AE870, file ""c:\Users\iTreek\Documents\Formation\Othello\GUI_pygame.py"", line 34>, callcount=18, reccallcount=0, totaltime=0.059987000000000006, inlinetime=0.0018408), _lsprof.profiler_subentry(code='<built-in method pygame.event.get>', callcount=18, reccallcount=0, totaltime=0.008425, inlinetime=0.008425)]"
1,"<code object main_pygame at 0x0000011A224EBB30, file ""c:\Users\iTreek\Documents\Formation\Othello\main.py"", line 102>",1,0,185.7725517,9.45e-05,"[_lsprof.profiler_subentry(code=<code object Deroulement_tour_bot at 0x0000011A224DA190, file ""c:\Users\iTreek\Documents\Formation\Othello\main.py"", line 56>, callcount=18, reccallcount=0, totaltime=185.77245720000002, inlinetime=0.00026490000000000004)]"
20,"<code object Make_move at 0x0000011A264D2DF0, file ""c:\Users\iTreek\Documents\Formation\Othello\Player_file.py"", line 79>",18,0,185.658645,7.8e-05,"[_lsprof.profiler_subentry(code=<code object Make_move_exploration at 0x0000011A264D60E0, file ""c:\Users\iTreek\Documents\Formation\Othello\Player_file.py"", line 107>, callcount=18, reccallcount=0, totaltime=185.658567, inlinetime=0.0001942)]"
27,"<code object Score at 0x0000011A264DA240, file ""c:\Users\iTreek\Documents\Formation\Othello\Exploration_part.py"", line 26>",171,0,5.22e-05,5.22e-05,
31,"<code object __exit__ at 0x0000011A2672BEA0, file ""C:\Users\iTreek\anaconda3\envs\Game\lib\cProfile.py"", line 133>",1,0,7.9e-06,7.6e-06,"[_lsprof.profiler_subentry(code=""<method 'disable' of '_lsprof.Profiler' objects>"", callcount=1, reccallcount=0, totaltime=3.0000000000000004e-07, inlinetime=3.0000000000000004e-07)]"
43,<method 'disable' of '_lsprof.Profiler' objects>,1,0,3.0000000000000004e-07,3.0000000000000004e-07,
